id,provider_name,npi,specialty,address,city,state,zip,phone,status,effective_date
63,Tommy Wallace,4121267888,Oncology,01581 Shields Bridge Suite 661,New Adriana,TX,50404,(824)644-7212,pending,2025-03-14
64,Mr. David Wright,7993712406,Psychiatry,657 Jordan View Apt. 459,South Leon,MO,42331,479-235-6465x1939,pending,2026-04-07
65,Michael Gonzales,4167243426,Dermatology,79796 Stephens Turnpike Suite 891,Port Johnstad,GA,85304,+1-509-965-6101x438,pending,2025-02-08
66,Michael Vaughn,2507146112,Family Medicine,5738 Bailey Court Suite 751,Bradleyville,AK,45468,+1-812-438-2825x8673,pending,2024-09-24
67,Jennifer Mclaughlin,3796603341,Cardiology,255 Stephen Greens,Rosemouth,PA,51440,+1-369-415-5792x499,pending,2024-12-25
68,Bruce Brooks,2866929662,Dermatology,828 Tracy Dam Apt. 579,Port Michaeltown,NM,18396,968.487.6767,pending,2024-07-10
69,Philip Carter,4384279788,Neurology,148 Weaver Throughway,Port Jenniferside,IL,56226,334-507-4517,active,2024-10-11
70,Melissa Callahan,9629233095,Dermatology,825 Roberts Grove Apt. 260,Michelleberg,UT,17893,825.836.7294,inactive,2025-04-06
71,Sheryl Davis,8457759017,Pediatrics,86363 Adams Village Suite 589,New Melissa,WY,45555,+1-600-417-0127x70632,inactive,2026-02-09
72,Anna Ward,1520643611,Family Medicine,71293 Smith Square,Lisachester,UT,17825,413.361.1155x4262,pending,2025-06-02
73,Matthew Alexander,3269731121,Dermatology,6523 Newman Gateway Suite 043,Lake Peter,SD,07653,276.713.7918,pending,2026-03-24
74,Scott Carroll,5827109104,Pediatrics,06848 Henderson Locks,Lake Amandaberg,KY,11458,218-532-8569x1463,pending,2024-07-13
75,Jesse Lynch,4210202758,Cardiology,52410 Roman Groves Apt. 491,Gibsonstad,AR,65985,001-225-224-1913,pending,2026-01-28
76,Angel Cox,2208635365,Dermatology,95180 Jeffrey Path Apt. 617,Kiaraport,MD,11823,+1-570-953-4949,pending,2025-02-04
77,Yolanda Parsons,8320603850,Orthopedics,64138 Robert Circle Apt. 410,Port April,UT,49324,419.518.2619x906,active,2024-12-10
78,Tammy Long,5574313291,Neurology,27756 Amanda Trail,South Kyle,KS,16218,524-790-3521,active,2025-02-24
79,Edwin Wilkins,2067883171,Family Medicine,00323 Watson Roads,New Brendaland,AK,08951,472.815.1070,pending,2026-01-01
80,Allen Vega,2532447209,Neurology,476 Brown Harbors,Taylorborough,SD,69420,780.865.7875,inactive,2024-11-24
81,Kyle Johnson,4078593213,Family Medicine,8039 Kelly Villages,East Joel,MD,97245,001-659-405-9929x378,active,2025-05-04
82,David Robinson,8705932525,Neurology,29218 Yu Landing,Willismouth,ME,42785,(526)475-2895,inactive,2025-02-11
83,Elizabeth Thompson,0969029593,Orthopedics,2513 Haas Expressway,Port Jennamouth,NV,01994,433-815-4100x676,active,2025-05-06
84,Joshua Garcia,7932710405,Orthopedics,15262 Amy Course Suite 997,South Sherriburgh,PA,57412,(601)653-3688,pending,2024-12-14
85,James Dunn,7205061497,Cardiology,03241 Anthony Inlet,Ruizview,CO,84631,+1-662-956-5270,active,2025-04-15
86,Derrick Brown,1158693806,Psychiatry,793 Evans Locks Apt. 898,North Stacy,NV,23160,(433)620-6163,active,2024-12-30
87,Renee Miller,8685487099,Pediatrics,62299 Sara Port Apt. 485,Bakerfort,OK,80318,202.946.2996x0653,active,2026-03-15
88,Alicia Roth,4447132475,Psychiatry,691 Scott View Suite 785,New Laceyland,ME,93505,762.589.0233x03070,pending,2024-11-27
89,Kathy Reid,1035797279,Pediatrics,2414 Paul Estates Apt. 333,Denisehaven,AK,89918,6726290349,inactive,2025-03-16
90,Gregory King,7489691085,Oncology,1715 Davidson Wall Suite 443,New Kathy,MH,07942,+1-565-720-7446x660,active,2025-10-24
91,Joseph Glover,5842824172,Orthopedics,825 Jeffrey Fork Suite 655,Brendamouth,PR,15938,809.299.1738x1684,pending,2026-02-06
92,Willie Cooper,9725217525,Dermatology,74329 Tracy Track,East Christinachester,MO,56734,560.508.3505x8300,inactive,2025-09-29
93,Carl Reyes,9421044789,Neurology,2575 Frederick Valleys Suite 033,East Jessica,OR,66644,(215)306-4890,inactive,2025-08-31
94,Michael Butler,6184723046,Psychiatry,849 Robert Cove,West Danielville,NM,26538,+1-534-983-5642x087,active,2025-01-07
95,Michael Meadows,9721811437,Orthopedics,7012 Melissa Lake Suite 611,North Melissaburgh,MA,47362,894.915.5216x674,active,2025-12-16
96,Rebecca Wilson,0216979729,Cardiology,9027 Rodriguez Loop Suite 014,Alexanderhaven,WI,97969,001-593-958-8916,inactive,2025-01-18
97,Janice Combs,8900287721,Family Medicine,3540 Andrea Lane Suite 317,Solismouth,CO,65834,351.670.1660x880,pending,2026-02-20
98,Mary Bryant,5503758997,Orthopedics,711 Aaron Knoll Suite 885,North Pennyfort,DC,94460,001-361-849-3316x3735,pending,2024-06-13
99,Megan Martinez,7798270808,Orthopedics,782 Jessica Crossroad Apt. 699,Williamfurt,MT,80323,001-634-765-4722x698,active,2025-10-13
100,Mackenzie Harris,9452288515,Cardiology,968 Rich Manors Apt. 810,Thomaston,ID,35494,001-524-842-0438x05719,pending,2024-10-31
101,Rebecca Roberts,0666580043,Family Medicine,59893 Kelly Fall Apt. 228,South Billyview,OH,35135,(429)740-5720,active,2025-07-21
102,Lori Cameron,4798515832,Cardiology,268 Davis Forges,Lake Martin,MN,38980,598.578.0157,active,2026-04-11
103,Erica Moon,1648408588,Neurology,0435 Stacy Expressway Apt. 133,Houstonborough,ND,92610,001-361-520-7501x1024,active,2026-03-07
104,Jerry Sullivan,5061809190,Orthopedics,8144 Juan Mill,Fostertown,NJ,20990,+1-232-468-4245,inactive,2024-08-09
105,Kyle Medina,1435368222,Psychiatry,431 Emily Port,Port Karenside,NH,84999,+1-714-714-1397,active,2024-08-12
106,Ariel Harvey,3577594929,Pediatrics,6205 Kristen Station Suite 452,Nataliemouth,NV,47521,001-347-281-2914x28341,pending,2026-01-22
107,Robin Riley,9308488725,Psychiatry,94278 Randy Parkway Apt. 392,South Erik,OK,74663,+1-727-850-3731x45303,active,2025-04-19
108,Anthony Hooper,5184498926,Psychiatry,9184 Kaufman Fork Suite 557,Eatontown,NY,18715,323.518.4322x259,inactive,2025-03-10
109,Brian Leonard,7392603029,Orthopedics,80920 Jonathan Falls,Greeneshire,SC,02941,001-441-637-9772x3692,active,2024-09-10
110,Tammy Carlson,1366210388,Cardiology,91279 Natalie Place Apt. 172,Port Erikachester,NC,55640,(408)663-7659x916,pending,2025-04-24
111,Scott Campbell,8643009818,Oncology,3565 Eric Run,Joseside,NE,74513,(994)663-6887x258,inactive,2026-05-03
112,Patricia Sanders,2137213865,Oncology,60127 Davis Greens,West Christopher,AZ,95461,(669)584-9027x7038,inactive,2024-06-04
113,Kelli Hall,2053021465,Psychiatry,9380 Samantha Plaza Suite 895,Sylviaview,IN,79978,376.390.4268,pending,2025-05-13
114,Bruce Palmer,4894769735,Family Medicine,790 Wilson Cliff Suite 335,Moseshaven,ND,01775,001-743-541-6518x275,pending,2026-02-23
115,Travis Vega,3733343333,Cardiology,11179 Kathryn Plains Apt. 759,Travisshire,VI,36510,228.746.3920x8678,active,2025-02-22
116,Carrie Bray,8750036915,Oncology,428 Young Mountains Suite 527,Clarkstad,MN,53007,872-592-9314x386,pending,2024-08-25
117,Brittany Shaffer,2672885744,Neurology,1203 Woods Roads,South Julieview,MN,47727,+1-584-450-6159,active,2026-04-26
118,Frederick Dixon,7169472256,Orthopedics,12535 Delgado Station Suite 964,Normanstad,WA,77429,376.322.0234x13261,active,2026-03-26
119,Anthony Wise,8114921643,Orthopedics,472 Alison Extension,North Elizabethmouth,VI,62911,884.687.2829x979,pending,2026-03-06
120,Mr. Brandon Parker,6424008254,Psychiatry,077 Smith Meadows Suite 930,Jacobside,NE,52241,626.663.4163,active,2025-08-28
121,Debra Lopez,1224179749,Oncology,50208 Jacob Cove Suite 427,East Christophertown,NM,28968,964-475-7051x20461,active,2024-09-28
122,Ruth Clayton,1367303718,Dermatology,6452 Julie Plaza,West Timothyport,ID,47742,3318365024,inactive,2025-12-08
123,Andrew Logan,7925132719,Orthopedics,005 Jacqueline Turnpike Apt. 273,Tinastad,AS,58004,001-930-565-2407x7848,active,2025-06-29
124,Erica Mcdonald,9821827448,Psychiatry,0862 Christine Lakes Apt. 518,Leefort,WI,72782,(394)256-5118,pending,2026-01-11
125,Shane Harris,7310967899,Cardiology,53910 Diana Village Apt. 705,Shortton,GU,81363,880-514-1381x138,active,2024-09-29
126,Laura Meza,8861957612,Family Medicine,685 Amanda Rapid,Mahoneymouth,OH,43054,(766)959-3983x684,active,2025-04-03
127,Nicholas Bird,9082404335,Orthopedics,488 Clinton Mount,Ericview,MN,76805,334.741.9693,active,2025-12-11
128,Roger Norris,9194096105,Oncology,6139 Cynthia Roads Suite 048,West Amberberg,MD,66351,001-632-806-7998x136,inactive,2024-08-27
129,John Mcgee,8641686227,Psychiatry,6938 John Grove,Morrisshire,CO,15250,+1-966-455-3559x04259,active,2025-03-28
130,Cynthia Jennings,2110392405,Oncology,7705 Jody Forest,New Alexandra,KS,72433,692.206.9804x2043,active,2025-04-15
131,Andrea Guerrero,5104636815,Pediatrics,812 Vincent Mount Apt. 038,Matthewfurt,WA,21079,6558543840,inactive,2026-02-20
132,Alyssa Peters,4325621689,Family Medicine,3926 Browning Isle,Danielsborough,SD,18664,001-483-724-8262,inactive,2024-06-29
133,Michelle White,2056647423,Dermatology,20994 Caitlyn Fort,West Christopherfort,DC,66341,+1-875-226-7722x330,inactive,2026-03-18
134,Courtney Powers,3312797573,Dermatology,0965 Carr Summit Apt. 817,Wilcoxton,FM,32708,986.408.6803x47644,inactive,2025-03-15
135,Amy Black,2771812982,Psychiatry,5702 Garza Station Apt. 714,Heatherburgh,VT,96611,411-875-1868,active,2025-06-17
136,Christopher Rogers,2222064474,Orthopedics,23094 Stephen Walk,Stephenstown,PA,65180,239.577.6719,inactive,2026-02-14
137,Mark Wilkins,3022050209,Orthopedics,1016 Evan Haven Apt. 795,North Kaylamouth,MN,50169,768-814-7214,active,2025-05-29
138,Lisa Rodriguez,8179469548,Family Medicine,99787 Morton Ridge Apt. 430,North Stevenville,WA,27676,+1-366-605-5830x344,pending,2024-12-16
139,Pamela Wilson,5569902355,Neurology,0272 Mcclain Plain Suite 760,Annettemouth,OH,70740,7398551240,active,2025-08-11
140,Laura Price,9145046173,Family Medicine,4384 Daniel Tunnel Apt. 317,Port Timothyhaven,FL,25432,378-245-2182x30768,pending,2024-12-24
141,Ryan Wiggins,5701840943,Psychiatry,34485 Lambert Groves Apt. 241,New Anitaville,IL,71611,(785)942-4932x149,pending,2024-06-17
142,Steven Williams,6016629979,Pediatrics,5381 Bradley Course Suite 174,Ruizbury,FL,81364,756-925-5770x171,active,2025-04-13
143,Randy Munoz,2816158148,Cardiology,9639 Amy Orchard Suite 153,Muellerchester,OK,45353,+1-932-719-7199,active,2025-06-20
144,Casey Blanchard,1919657013,Cardiology,022 Schmidt Loaf,Gonzalezmouth,ME,75248,+1-246-251-9098x62405,pending,2025-10-07
145,Heather Callahan,0369656666,Cardiology,272 Angela Ville,Maryberg,LA,88327,(320)410-2762,pending,2025-08-23
146,Jesus Mccormick,9692786876,Orthopedics,26909 Bradford Freeway Suite 689,Arthurton,OK,63843,001-351-597-1284x781,inactive,2025-04-21
147,Toni Miller,8949058077,Cardiology,565 Roberts Camp Suite 940,Laneshire,AR,86526,690-647-1281x4429,pending,2026-01-28
148,Brian Thompson,9275243728,Orthopedics,1292 Mullins Loop,Youngmouth,VA,84069,(939)850-4102,pending,2025-04-24
149,Travis Nielsen,3667428604,Family Medicine,5801 Blanchard Meadows Suite 544,West Destinyfurt,NH,89012,001-839-338-5258x0010,pending,2025-05-29
150,Heather Hardy,4300910939,Cardiology,119 Nicholas Track,North Heather,KS,39110,817.746.5421x406,inactive,2026-05-09
151,Robert Thompson,1739627128,Neurology,91741 Charles Ports Suite 707,Lake Danielle,AZ,87612,(542)256-9087x7661,inactive,2025-02-16
152,Penny Martinez,8554601585,Orthopedics,4328 Tammy Shore,West Heather,MH,14495,+1-857-317-3203x0937,pending,2025-12-11
153,Kathryn Hanna,7005050613,Neurology,829 Sandy Camp Apt. 707,East Jacquelineberg,AL,23078,+1-504-317-9291x1179,active,2025-12-20
154,Robert Hendrix,6519825309,Dermatology,1142 Jackson Land,South John,OR,05835,(219)462-0710,inactive,2026-03-19
155,Linda Campbell,7232487632,Pediatrics,279 Courtney Tunnel,Michaeltown,OH,31386,918.519.5883,pending,2024-11-29
156,Robert Jennings,7722005436,Dermatology,9701 Sara Fall Apt. 078,North Pattymouth,OR,76491,363-953-1531x36363,inactive,2025-07-12
157,Jeffrey Robinson,9726527354,Neurology,2090 Taylor Walk,Ellisburgh,WV,45534,349.829.2983,active,2026-01-27
158,Zachary Vargas PhD,4063356939,Family Medicine,060 Vickie Street,South Amandafort,AS,91812,477-731-8063,inactive,2024-12-13
159,Ann Castillo,4279907726,Cardiology,7016 Schmidt Hill,Mullinsside,OK,27652,+1-719-750-8501x65790,active,2024-09-16
160,Andrea Fletcher,3253817933,Orthopedics,4864 Bryan Key Suite 788,South Jenniferside,MH,38808,395.413.7116x241,pending,2024-11-28
161,Kathleen Golden,8046827567,Dermatology,3103 Jenkins Junctions,Toddhaven,MP,72389,274.492.4243x754,active,2025-01-24
162,Christopher Glass,8422223105,Neurology,4523 Elizabeth Key,West Shane,GA,70446,610-967-2752x0885,active,2026-02-24
163,Nicole Mcknight,2975170281,Orthopedics,69375 Mark Rest Apt. 983,Jamesland,ND,58888,+1-818-763-7599x80562,inactive,2025-02-17
164,Gregory Parker,7813767426,Dermatology,99123 Wells Ways Suite 196,North Robertview,MT,23424,+1-979-223-2648,active,2026-01-02
165,Kevin Snyder,7300244714,Psychiatry,73014 Gamble Cliff Suite 979,Oneillfort,UT,16175,(789)404-2902x572,pending,2024-06-18
166,Mark Friedman,0448183219,Dermatology,554 Jennings Spurs,Codyshire,MI,19338,3285457652,pending,2024-08-31
167,Colin Prince,9888167112,Family Medicine,5452 Preston Ranch,Geraldport,AK,98078,332-823-4232,pending,2025-09-27
168,Angela Hampton,6031089071,Dermatology,14011 Briana Flats Apt. 501,Port Julie,KY,76490,(552)589-3891x190,pending,2026-04-15
169,Paul Smith,1387592712,Cardiology,6383 Rodriguez Island Apt. 718,South Kathryn,VT,38285,+1-601-957-1647,active,2024-10-23
170,William Patterson,1752071678,Dermatology,26691 Calvin Flat,Jamesfurt,DE,31023,(474)999-4657x96784,active,2024-07-28
171,Jonathan Fuller,2010170269,Cardiology,49911 Sparks Flats Suite 778,Amyside,ND,02817,001-606-416-7567x70028,pending,2025-05-05
172,Mike Freeman,1978897782,Pediatrics,4796 Miranda Haven,Bryanshire,AZ,17304,(259)505-6165x565,inactive,2024-11-08
173,Leslie Lozano,1415208507,Dermatology,864 Heather Radial Apt. 569,Morrisville,AS,64511,735-878-5294,pending,2024-10-05
174,Valerie Jones,8344049639,Orthopedics,919 Nelson Port,Simmonsstad,WY,10549,+1-948-446-8536x6498,pending,2026-02-13
175,Kelli Lopez,7374896908,Neurology,7232 Richard Loop,Michelleland,SC,27181,(644)924-9363x12303,active,2025-04-30
176,Jennifer Bullock MD,4204482070,Dermatology,59416 Powers Course,Hahnberg,IA,15172,001-581-389-8471,pending,2025-11-27
177,Ronnie Mclaughlin,3632123476,Psychiatry,078 Lyons Creek Suite 867,West Natasha,FL,48079,354.509.0034x8645,inactive,2026-01-27
178,Theodore Long,4413432756,Family Medicine,1776 Love Wells,Port Ethanview,NY,09199,(869)585-7002x720,active,2025-08-13
179,Bradley Moore,8296577242,Oncology,3165 Phillip Lane Apt. 008,North Terri,ID,34813,001-320-269-6942x152,inactive,2025-10-18
180,Thomas Chavez,7133344762,Family Medicine,93436 Ricky Drive Apt. 443,Solomonstad,OR,90189,+1-371-307-2563x6694,active,2025-06-22
181,Timothy Ruiz,5990048964,Neurology,528 Beverly Green Apt. 875,Andersonmouth,VT,70024,(624)715-0274x56449,active,2025-03-25
182,Norman Henry,2870320320,Dermatology,2761 Williams Knolls Suite 771,North Michael,IL,37740,(428)849-9390,active,2026-03-14
183,Jonathan Davis,5041659152,Psychiatry,77749 Mark Cape,Nguyenshire,DC,28205,8456018961,pending,2024-09-18
184,Sharon Davis,3266421476,Oncology,925 Marilyn Passage Apt. 776,Adamschester,CO,99655,(359)626-6108x57327,pending,2025-04-18
185,Robert Evans,2438649081,Family Medicine,186 Davis Shore,Michaelshire,CO,66488,6177226016,active,2025-07-14
186,Michael Hanson,4523219416,Cardiology,61027 Holt Ways,Turnerstad,UT,88817,001-564-912-2031x030,pending,2025-08-28
187,Jessica Garrett,8314727601,Pediatrics,77707 James Port,Williamstown,CT,83130,001-966-579-9840x767,pending,2025-10-15
188,Jennifer Stewart,1467179576,Family Medicine,43757 William Radial,Sandramouth,DC,38956,001-566-457-2934x1722,inactive,2025-07-27
189,Jason Chaney,4338005452,Pediatrics,015 Wilson Forks,New Jeffreyview,MA,47063,001-308-242-8910x77119,inactive,2025-05-16
190,Bruce Harris,5247871255,Pediatrics,37603 Peterson Parkways,North Joseph,VT,99440,(253)928-6326x66785,active,2024-08-25
191,Robert Acevedo,1556260602,Dermatology,846 Blackwell Squares,Jennifermouth,PW,45610,9487926738,inactive,2026-02-18
192,Jennifer Gonzalez,4108562884,Family Medicine,88485 Andrew Underpass,Johnport,VA,55911,910.754.8510x17490,inactive,2026-04-29
193,Virginia Cunningham,8935449268,Orthopedics,58935 Garcia Station,Pooleland,CO,08652,(927)837-1586x98864,pending,2026-05-09
194,Theresa Dennis,6228277288,Orthopedics,377 Julie Points,Sandraville,PA,54059,715-694-0821,pending,2026-05-05
195,John Moody,2960443270,Cardiology,510 Olson Inlet,Mcculloughfurt,NJ,94877,+1-822-887-7725x199,inactive,2024-10-28
196,Joshua Rubio,7412094818,Oncology,98909 Karen Parkway,North Dominiqueside,HI,02987,933-297-1895x690,pending,2025-01-14
197,Alexander Rice,6411182422,Pediatrics,24620 White Station Apt. 461,Douglasmouth,KS,49720,803-339-9378,active,2024-11-23
198,Juan Jones,0630489138,Pediatrics,9671 Krista Divide,Amberburgh,WY,32634,+1-468-270-0794,active,2024-06-23
199,Denise King,6539840289,Oncology,1612 Johns Fords,Nicolemouth,SC,34758,001-974-235-5379x50209,active,2026-02-28
200,Jennifer Woodard,7681180715,Pediatrics,562 David Land Apt. 703,Port Juanstad,ID,12293,+1-543-837-5047x930,pending,2024-07-31
201,Jonathan Jackson,3999219212,Neurology,384 Melanie Brooks Suite 870,Davidsonton,PR,42837,(964)718-7758x03046,inactive,2024-05-14
202,Brad Armstrong,0361332541,Orthopedics,76095 Wright Mountains,West Marissa,GU,44225,731.399.7179x11006,inactive,2025-12-04
203,Robert Brown,9611080466,Pediatrics,639 Shawn Mountain,Hobbsville,MA,85818,+1-407-685-9311x09193,pending,2025-01-25
204,Mr. Cody Taylor,0024968549,Cardiology,74954 Cordova Path,North John,GU,73829,9659333153,inactive,2025-07-23
205,Kenneth Mccarty,9465217073,Family Medicine,337 John Street,Lindsayfurt,IL,52970,(405)601-5081,inactive,2025-03-28
206,Susan Ward,0334234258,Orthopedics,30241 Marie Dam,Penaville,MA,28057,573-555-2896x1122,active,2025-06-04
207,Emily Jordan,3099384253,Psychiatry,428 Clark Common,Gibbsland,GA,67166,(685)878-7255x8777,inactive,2025-08-20
208,Marie Clark,3736346692,Dermatology,8121 Wallace Knoll Apt. 907,Ronaldmouth,NE,54103,(375)646-0273x415,active,2026-01-16
