id,first_name,last_name,effective_date,termination_date,primary_care_flag
307,Karen,Wolf,2025-11-26,2026-02-16,false
308,Anne,Reid,2025-04-04,2026-04-11,false
309,Courtney,Hernandez,2025-08-10,,true
310,Kevin,Hill,2024-06-29,,false
311,Lance,Hayes,2024-06-21,,true
312,Chase,Lin,2024-06-21,,true
313,William,Ford,2026-01-26,2026-04-01,false
314,Paula,Cole,2025-06-20,2026-03-05,true
315,Marc,Alvarez,2025-12-23,,false
316,Dale,Nolan,2024-08-29,,false
317,William,Thompson,2025-01-17,,false
318,Scott,Mills,2024-11-08,,true
319,Justin,Ortiz,2024-09-04,2025-04-21,true
320,Kristina,Holland,2025-01-13,,false
321,Erika,Mitchell,2024-06-28,,false
322,Rebecca,Marks,2025-10-22,,true
323,Donald,Bailey,2025-01-09,2025-10-20,false
324,Philip,Larson,2026-04-18,2026-05-04,false
325,Nicholas,Conner,2026-03-27,2026-04-10,true
326,Maria,Rodgers,2025-12-26,,false
327,Debbie,Henderson,2025-09-24,2026-01-23,true
328,Henry,Lewis,2025-01-30,,false
329,Jeremy,Taylor,2026-04-03,2026-04-21,true
330,Craig,Wise,2024-07-06,,true
331,Benjamin,Rogers,2026-01-11,,false
332,Nicholas,Martin,2025-11-22,,true
333,Lisa,Martin,2026-01-08,,false
334,Erica,Young,2025-03-26,,false
335,Kaitlyn,Cole,2025-03-31,2025-07-24,false
336,Lindsey,Harrison,2025-06-05,2025-09-18,false
337,Stacey,Joyce,2026-01-11,2026-02-24,true
338,Patrick,Rose,2025-04-13,,true
339,Laurie,Taylor,2026-04-17,,false
340,Morgan,Spencer,2024-11-09,,true
341,Melissa,Mitchell,2024-07-24,,true
342,Rebecca,Hernandez,2025-11-19,,true
343,Jeffrey,Hayes,2025-03-26,,false
344,Brian,Shaw,2025-01-21,2025-02-02,false
345,Nicholas,Johnson,2024-10-30,2026-05-08,true
346,Debra,Moody,2026-03-22,,false
347,Maria,Horton,2024-08-19,2025-02-16,false
348,Shane,Smith,2024-08-20,,true
349,Mary,Dunn,2024-07-07,2024-12-26,true
350,Daniel,Roberts,2025-10-24,2026-02-06,true
351,Robert,Bauer,2024-12-17,,true
352,Rebecca,Carlson,2025-04-10,2025-05-24,true
353,John,Thomas,2024-05-23,,true
354,John,Butler,2025-03-20,,false
355,Theresa,Jones,2025-09-08,2025-09-29,false
356,Vanessa,Spencer,2025-05-30,,false
357,Cynthia,Zavala,2025-02-20,2025-09-17,false
358,Kristina,Cooper,2024-11-12,2024-11-20,false
359,Kelsey,Moss,2025-10-28,2026-02-28,true
360,Amy,Li,2025-01-09,,false
361,Steven,Dominguez,2024-09-15,2025-12-29,false
362,Bryan,Parsons,2025-08-15,,true
363,Bradley,Gonzalez,2025-04-10,,true
364,Zachary,Hays,2024-06-10,2026-03-26,true
365,Karen,Lee,2025-06-11,,false
366,Michelle,Rivera,2025-01-26,2026-01-28,false
367,Pamela,Paul,2024-08-09,,false
368,Terri,Crawford,2026-02-23,2026-03-25,true
369,April,Owen,2025-05-09,2026-04-14,false
370,Carrie,Short,2025-10-24,2025-11-08,false
371,Christopher,Guerrero,2025-06-13,2025-09-27,true
372,Ronald,Norris,2024-12-21,,false
373,Molly,Gomez,2025-01-22,2025-02-11,false
374,Tina,Gould,2026-05-10,2026-05-10,false
375,Michael,Owen,2024-07-04,,false
376,Douglas,Lawson,2025-09-19,,false
377,Carlos,Osborne,2025-12-03,2025-12-08,false
378,Ashley,Jacobs,2025-02-02,,false
379,Nathan,Hines,2025-09-19,,false
380,Raymond,Banks,2025-07-04,2025-12-16,true
381,Jill,Porter,2024-11-09,,false
382,Jose,Green,2025-02-17,2025-10-27,false
383,Justin,Hendricks,2025-04-02,,true
384,Melissa,Hayes,2025-05-05,2025-06-19,true
385,Christopher,Fleming,2026-02-26,2026-03-31,false
386,Michael,Brown,2026-01-19,2026-02-24,true
387,Melissa,Joseph,2025-06-11,,true
388,Laura,Hicks,2026-03-19,,false
389,Dominic,Tyler,2024-08-07,,false
390,Miguel,Lara,2024-05-30,,true
391,Christopher,Parker,2025-06-18,,false
392,Alicia,Hammond,2026-05-11,,true
393,Teresa,Day,2026-01-02,2026-01-11,false
394,Melvin,Humphrey,2025-04-04,2026-01-03,false
395,Hunter,Burch,2025-12-02,2026-03-15,false
396,Brian,Martinez,2025-03-23,,false
397,Marcus,Fletcher,2024-08-30,,false
398,Patty,Singleton,2025-01-18,,true
399,Andrea,Martinez,2024-11-10,,false
400,Wayne,Jackson,2024-12-18,2025-09-16,false
401,Donna,Le,2026-03-30,2026-04-05,true
402,Anne,Bryan,2025-07-27,2026-03-27,false
403,Darlene,Ray,2024-05-31,2024-07-02,true
404,Robert,Fowler,2025-08-29,2026-03-13,false
405,Keith,Frye,2025-05-10,2025-12-26,false
406,Gail,Evans,2025-04-29,2026-02-27,false
407,Scott,Washington,2024-07-03,2024-08-12,true
408,Larry,Higgins,2024-10-07,,false
409,Theresa,Anderson,2025-10-29,,false
410,Luis,Owens,2025-02-05,,false
411,Colin,Roberts,2024-11-22,2025-04-03,false
412,John,Grimes,2025-02-15,2025-11-19,true
413,Becky,Edwards,2024-09-04,2025-03-24,true
414,Xavier,Jimenez,2025-11-19,,false
415,Sierra,Wagner,2024-12-22,,false
416,Michael,Williams,2026-04-17,,false
417,Destiny,Ruiz,2025-05-07,,true
418,Ryan,Khan,2025-06-07,2026-03-21,true
419,Michael,Morales,2025-10-24,,false
420,Angela,Jones,2025-07-01,2025-08-31,false
421,Joshua,Hays,2025-05-14,2026-02-15,true
422,Theresa,Long,2025-09-20,2025-10-17,false
423,Sheila,Fischer,2025-12-13,2026-02-01,false
424,Vincent,Williams,2024-10-03,,true
425,Thomas,Bryant,2024-08-19,,false
426,Mark,Austin,2025-07-28,,true
427,Jodi,Evans,2024-09-06,2026-05-06,true
428,Amanda,Erickson,2025-01-11,,false
429,Micheal,Nunez,2024-12-16,,false
430,Laura,Swanson,2026-04-27,,true
431,Thomas,Coffey,2025-09-25,2025-10-01,true
432,Becky,Griffith,2025-12-04,2026-04-06,false
433,Cristina,Harvey,2025-07-11,2025-09-01,false
434,Erin,Johnson,2026-01-15,,true
435,Andrew,Edwards,2026-04-04,2026-04-08,true
436,Robert,Hampton,2024-08-29,,true
437,Jill,Brown,2026-03-14,,false
438,Mark,Bates,2024-08-19,,false
439,Glen,Barr,2025-05-30,,true
440,Kelsey,Le,2025-01-16,2025-07-05,false
441,Chelsea,Lee,2025-08-24,2026-02-20,false
442,Jeffrey,Dudley,2024-11-07,,false
443,Jared,Bush,2024-12-14,2025-05-11,true
444,Sarah,Pope,2024-12-28,,false
445,Erica,James,2024-11-26,2025-01-29,false
446,Stephanie,Ballard,2026-04-27,2026-05-09,false
447,Jennifer,Reed,2024-12-09,2025-05-07,false
448,Timothy,Harris,2025-03-30,,false
449,Heather,Taylor,2025-06-08,2026-04-19,true
450,John,Santiago,2025-08-04,,false
451,Brian,Gutierrez,2025-06-03,2026-01-07,false
452,Kelli,Smith,2025-10-17,2025-11-06,true
453,Richard,Donovan,2025-06-17,2026-04-18,false
454,James,Maynard,2026-02-12,,true
455,Rebecca,Davis,2024-12-31,2025-11-17,false
456,Jennifer,Zuniga,2025-07-04,,false
457,Nicole,Thompson,2026-03-09,,true
458,Randy,Simpson,2026-03-14,2026-05-11,true
459,Sara,Mcdowell,2026-03-26,,true
460,Daniel,Bird,2024-05-17,2025-07-02,false
461,Amy,Snyder,2024-12-05,,false
462,Taylor,Lee,2026-03-28,,true
463,Stephen,Scott,2024-08-01,2024-11-14,false
464,Krystal,Bradley,2024-09-24,2025-12-06,true
465,Melissa,Prince,2025-11-15,,true
466,Christopher,Caldwell,2026-01-05,2026-03-11,false
467,Marcus,Wright,2024-09-23,,false
468,Karen,Finley,2024-11-17,2025-03-24,false
469,Alexander,Valdez,2024-12-17,2025-12-21,true
470,David,Parker,2025-09-29,2025-10-12,true
471,Paula,Padilla,2025-03-03,,true
472,Sabrina,Phillips,2024-12-24,2025-02-21,false
473,Dennis,Hernandez,2025-08-03,,false
474,Robert,Dunn,2025-11-08,,false
475,Elizabeth,Robinson,2025-04-20,,false
476,Morgan,Miller,2024-11-07,2025-12-27,false
477,Christian,Elliott,2025-04-02,2026-01-12,false
478,William,Armstrong,2024-06-25,,true
479,Abigail,Wilson,2024-08-28,2025-03-20,true
480,Christopher,Dixon,2024-10-08,2025-09-11,true
481,William,Bryant,2025-12-23,,false
482,Lindsay,Cummings,2024-06-22,2025-05-06,false
483,Julie,Lane,2025-02-24,,true
484,Bryce,Mcknight,2024-06-13,,true
485,Sarah,Johnson,2026-03-25,2026-03-28,false
486,Katie,Good,2025-03-05,,true
487,Victoria,Reyes,2025-08-26,,true
488,Nicholas,Vega,2026-02-05,2026-05-03,false
489,Desiree,Bailey,2025-09-06,2026-01-17,false
490,Allison,Luna,2024-09-18,,false
491,Andrew,Evans,2024-10-20,,false
492,Amanda,Morrow,2025-09-15,2026-01-23,false
493,Joshua,Pineda,2024-11-07,,false
494,Lisa,Barnes,2025-10-22,,false
495,Alexis,Harris,2025-11-21,2026-04-22,true
496,Carla,Warner,2024-07-23,2024-08-14,true
497,Richard,Young,2024-06-15,2025-11-12,false
498,Brian,Gordon,2024-10-16,,false
499,Jessica,Flores,2024-12-08,2026-02-05,true
500,Malik,Turner,2025-07-22,,false
501,Jeffrey,Turner,2024-08-23,,true
502,Nichole,Buck,2024-06-24,,true
503,Tyler,Compton,2025-08-11,2025-12-06,true
504,Kristi,Flores,2026-03-30,,true
505,Nicholas,Webster,2025-03-11,,true
506,Kevin,Zimmerman,2025-04-22,,true
507,Anna,Faulkner,2025-12-21,2026-04-29,true
508,John,Harris,2025-06-22,,false
509,Melanie,Davis,2025-08-26,,true
510,Joseph,Nunez,2025-10-22,2025-11-29,true
511,Jacob,Gill,2025-07-25,,true
512,Timothy,Booth,2025-10-22,,true
513,Alexis,Giles,2025-01-09,2026-04-21,true
514,Yvonne,Mendoza,2026-04-14,2026-04-17,true
515,James,Herman,2024-11-04,,false
516,Oscar,Ferguson,2025-06-18,,true
517,William,Crawford,2025-01-28,2025-05-30,true
518,Terrance,Franco,2024-07-22,,false
519,Robert,Hart,2026-03-10,2026-04-02,false
520,Jose,Donovan,2024-10-19,,false
521,Elijah,Rivera,2025-07-08,,true
522,Victor,Pena,2025-02-12,2026-02-25,false
523,Lorraine,Levy,2025-09-23,,true
524,Gary,Norton,2025-08-23,2025-12-29,false
525,Tracy,Stark,2024-09-11,2025-11-22,true
526,Brian,Johnson,2025-06-11,2026-01-12,false
527,Elizabeth,Duran,2026-01-19,,true
528,Jesse,Mann,2025-03-08,2026-03-05,true
529,Nathaniel,Williamson,2024-05-17,,true
530,Timothy,Freeman,2025-09-10,2026-02-07,false
531,Alexander,Moreno,2024-05-15,2025-06-20,false
532,Andre,Li,2024-11-27,2026-04-30,false
533,Renee,Rodriguez,2025-09-15,,true
534,James,Fox,2024-07-20,,false
535,Randy,Watson,2025-12-27,2026-02-01,true
536,Veronica,Perez,2025-03-03,2025-11-03,false
537,Desiree,Garrison,2025-09-23,2026-04-06,false
538,Nicholas,Tran,2025-11-17,2025-12-03,true
539,George,Porter,2024-06-21,2024-06-27,false
540,Ariel,Hodge,2025-03-24,2026-02-11,false
541,Brad,Lewis,2024-07-19,2025-07-03,true
542,Thomas,Williams,2026-02-04,2026-05-01,true
543,Rachel,Elliott,2024-07-04,,true
544,Leonard,Ali,2024-06-04,,false
545,Jennifer,Sanders,2025-07-14,,false
546,John,Davenport,2024-07-06,,true
547,Martin,Campos,2025-02-19,2026-03-26,true
548,Jennifer,Mason,2024-08-21,2026-05-04,false
549,Samuel,Roberson,2026-04-23,2026-04-24,true
550,Stephanie,Sanders,2025-01-14,2026-01-20,false
551,Joshua,Riddle,2025-11-27,2025-12-01,true
552,Shelley,Reynolds,2025-05-04,,true
553,Christopher,Montgomery,2025-09-19,2026-02-21,true
554,Christopher,Moore,2025-12-15,,false
555,Jodi,Stewart,2025-10-13,2026-02-23,true
556,Kyle,Ward,2024-07-27,2024-07-30,true
557,Jacob,Cole,2024-11-24,2025-02-02,true
558,Anthony,Gomez,2025-06-20,2025-10-31,true
559,Mark,Cruz,2024-07-18,,false
560,Christopher,Santana,2024-12-10,2025-06-28,false
561,Ashley,Jackson,2026-03-03,2026-05-10,true
562,Kevin,Snyder,2025-02-13,,true
563,Robert,Washington,2024-06-26,2025-04-19,true
564,John,Weber,2024-07-06,,true
565,Daniel,Torres,2025-07-19,,true
566,Christine,Brock,2026-04-04,2026-04-16,false
567,Lisa,Villarreal,2025-01-06,2025-06-19,false
568,Malik,Valentine,2026-04-23,,false
569,Tamara,Novak,2024-10-04,2025-04-05,false
570,Travis,Johnston,2024-12-10,,true
571,Lisa,Long,2024-11-04,,true
